City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,labytnangi,66.6572,66.4183,-8.68,95,26,2.86,RU,1714062072
201,san luis de la loma,17.2706,-100.8939,30.74,50,16,3.23,MX,1714062074
202,suwayr,30.1171,40.3893,32.52,13,10,2.37,SA,1714062075
203,upington,-28.4478,21.2561,28.21,16,0,3.6,ZA,1714062076
204,obonoma,4.7084,6.7931,32.16,58,92,3.71,NG,1714062078
205,ust-nera,64.5667,143.2,-1.78,97,100,0.62,RU,1714062079
206,porto seguro,-16.4497,-39.0647,30.29,70,40,3.09,BR,1714062080
207,shwebo,22.5667,95.7,34.98,20,59,3.81,MM,1714062082
208,avarua,-21.2078,-159.775,25.03,78,75,2.06,CK,1714062083
209,prado,-17.3411,-39.2208,28.74,58,1,3.12,BR,1714062084
210,hithadhoo,-0.6,73.0833,29.49,69,100,1.21,MV,1714062086
211,arteche,12.2645,125.4048,26.29,91,49,1.98,PH,1714062087
212,remire-montjoly,4.9167,-52.2667,31.02,66,75,5.14,GF,1714062090
213,laascaanood,8.4774,47.3597,28.41,58,98,6.29,SO,1714062091
214,kapa'a,22.0752,-159.319,23.18,82,100,7.72,US,1714062089
215,tabou,4.423,-7.3528,30.14,70,100,4.91,CI,1714062093
216,whitehorse,60.7161,-135.0538,5.61,60,20,2.06,CA,1714062095
217,nemuro,43.3236,145.575,6.81,96,100,8.01,JP,1714062096
218,bikenibeu village,1.3673,173.1241,27.98,89,20,4.12,KI,1714062097
219,walvis bay,-22.9575,14.5053,18.53,72,0,3.6,,1714062099
220,akdepe,42.0551,59.3788,18.05,24,58,3.09,TM,1714062100
221,yanbu,24.0891,38.0637,32.02,40,20,6.17,SA,1714062101
222,fresnillo,23.1667,-102.8833,21.75,10,31,3.51,MX,1714062102
223,port macquarie,-31.4333,152.9167,14.38,72,80,4.81,AU,1714062104
224,riverside,33.7333,-116.0508,19.48,39,1,8.75,US,1714061663
225,san antonio de pale,-1.4014,5.6325,28.85,76,46,3.15,GQ,1714062106
226,kongwa,-6.2,36.4167,20.28,91,67,1.98,TZ,1714062107
227,newman,37.3138,-121.0208,17.13,74,10,0.45,US,1714061979
228,luderitz,-26.6481,15.1594,20.63,60,74,9.42,,1714062110
229,altai,46.3722,96.2583,-0.76,68,81,1.22,MN,1714062111
230,peace river,56.2501,-117.286,8.17,62,20,6.17,CA,1714062112
231,dudinka,69.4058,86.1778,-13.51,97,27,1.79,RU,1714061901
232,kavieng,-2.5744,150.7967,28.53,80,62,4.96,PG,1714062115
